row_id,entity,role,note,affiliation,person
9928,Warner Bros. Studio Sound Department,Sound Director,,Warner Bros. Studio Sound Department,Nathan Levinson
9929,Universal Studio Sound Department,Sound Director,,Universal Studio Sound Department,Bernard B. Brown
9930,Columbia Studio Sound Department,Sound Director,,Columbia Studio Sound Department,John Livadary
10071,Universal Studio Sound Department,Sound Director,,Universal Studio Sound Department,Bernard B. Brown
10072,Metro-Goldwyn-Mayer Studio Sound Department,Sound Director,,Metro-Goldwyn-Mayer Studio Sound Department,Douglas Shearer
10073,Samuel Goldwyn Studio Sound Department,Sound Director,,Samuel Goldwyn Studio Sound Department,Thomas T. Moulton
10074,Denham Studio Sound Department,Sound Director,,Denham Studio Sound Department,A. W. Watkins
10075,Paramount Studio Sound Department,Sound Director,,Paramount Studio Sound Department,Loren L. Ryder
10076,RKO Radio Studio Sound Department,Sound Director,,RKO Radio Studio Sound Department,John Aalberg
10077,Republic Studio Sound Department,Sound Director,,Republic Studio Sound Department,Charles L. Lootens
10078,Columbia Studio Sound Department,Sound Director,,Columbia Studio Sound Department,John Livadary
10079,Hal Roach Studio Sound Department,Sound Director,,Hal Roach Studio Sound Department,Elmer A. Raguse
10080,Warner Bros. Studio Sound Department,Sound Director,,Warner Bros. Studio Sound Department,Nathan Levinson
10081,20th Century-Fox Studio Sound Department,Sound Director,,20th Century-Fox Studio Sound Department,E. H. Hansen
10210,United Artists Studio Sound Department,Sound Director,,United Artists Studio Sound Department,Thomas T. Moulton
10211,Republic Studio Sound Department,Sound Director,,Republic Studio Sound Department,Charles L. Lootens
10212,Warner Bros. Studio Sound Department,Sound Director,,Warner Bros. Studio Sound Department,Nathan Levinson
